date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_bigmac,adj_price,USD,EUR,GBP,JPY,CNY
2000-04-01,ARG,ARS,Argentina,2.5,1,2.5,8317.72928,1.94178719867421,0.36269,,-0.07842,0.09662,0.96313
2000-04-01,AUS,AUD,Australia,2.59,1.68,1.54166666666667,28016.5794594595,2.28655074018053,-0.28638,,-0.51738,-0.42572,0.02807
2000-04-01,BRA,BRL,Brazil,2.95,1.79,1.64804469273743,4578.62833898305,1.87634654245668,-0.07036,,-0.37129,-0.25188,0.33927
2000-04-01,GBR,GBP,Britain,1.9,0.632911392,3.00200000192128,20147.9747368421,2.14883671087583,0.47865,,0,0.18994,1.13019
2000-04-01,CAN,CAD,Canada,2.85,1.47,1.93877551020408,24539.9309473684,2.22570344997417,-0.07803,,-0.37648,-0.25805,0.32823
2000-04-01,CHL,CLP,Chile,1260,514,2.45136186770428,4480.57875555556,1.87463050718976,0.38404,,-0.06398,0.1138,0.9939
2000-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,1537.73963636364,1.82312579358603,-0.30586,,-0.53056,-0.4414,0
2000-04-01,CZE,CZK,Czech Republic,54.37,39.1,1.39053708439898,8627.05945190363,1.94720100529686,-0.24416,,-0.48883,-0.39174,0.08889
2000-04-01,DNK,DKK,Denmark,24.75,8.04,3.07835820895522,20272.0778343434,2.15100872716189,0.51473,,0.0244,0.21897,1.18217
2000-04-01,HKG,HKD,Hong Kong,10.2,7.79,1.30937098844673,43634.4906666667,2.55989087575568,-0.45862,,-0.63387,-0.56433,-0.22007
2000-04-01,HUN,HUF,Hungary,339,279,1.21505376344086,6712.32466312685,1.91368987440292,-0.32798,,-0.54552,-0.4592,-0.03187
2000-04-01,IDN,IDR,Indonesia,14500,7945,1.82504719949654,884.984776827586,1.81170146805134,0.06622,,-0.27893,-0.14197,0.53603
2000-04-01,ISR,ILS,Israel,14.5,4.05,3.58024691358025,11810.9036137931,2.00292371900133,0.89193,,0.2795,0.52253,1.72559
2000-04-01,JPN,JPY,Japan,294,106,2.77358490566038,32351.7401904762,2.36242346132965,0.24263,,-0.15962,0,0.79018
2000-04-01,MYS,MYR,Malaysia,4.52,3.8,1.18947368421053,6845.3210619469,1.91601753865982,-0.34293,,-0.55563,-0.47122,-0.0534
2000-04-01,MEX,MXN,Mexico,20.9,9.41,2.22104144527099,5679.03234449761,1.89560549303363,0.24013,,-0.16131,-0.00201,0.78657
2000-04-01,NZL,NZD,New Zealand,3.4,2.01,1.69154228855721,18278.4790588235,2.11611734172928,-0.15394,,-0.42782,-0.31914,0.21886
2000-04-01,POL,PLN,Poland,5.5,4.3,1.27906976744186,6342.81658181818,1.90722285152765,-0.29018,,-0.51995,-0.42877,0.0226
2000-04-01,RUS,RUB,Russia,39.5,28.5,1.3859649122807,1082.99123037975,1.81516691936174,-0.19185,,-0.45345,-0.34964,0.16425
2000-04-01,SGP,SGD,Singapore,3.2,1.7,1.88235294117647,25573.464,2.24379204459989,-0.11208,,-0.3995,-0.28545,0.27918
2000-04-01,ZAF,ZAR,South Africa,9,6.72,1.33928571428571,4830.04977777778,1.88074684728969,-0.2463,,-0.49028,-0.39346,0.08581
2000-04-01,KOR,KRW,South Korea,3000,1108,2.70758122743682,8666.0431424,1.94788328649978,0.47121,,-0.00503,0.18395,1.11948
2000-04-01,SWE,SEK,Sweden,24,8.84,2.71493212669683,22693.7536,2.19339219146269,0.31009,,-0.114,0.05429,0.88736
2000-04-01,CHE,CHF,Switzerland,5.9,1.7,3.47058823529412,23517.0993898305,2.20780214980037,0.6638,,0.12522,0.33893,1.39693
2000-04-01,TWN,TWD,Taiwan,70,30.6,2.28758169934641,13668.12768,2.03542831397023,0.18954,,-0.19552,-0.04272,0.71369
2000-04-01,THA,THB,Thailand,55,38,1.44736842105263,3109.21693090909,1.85062933173818,-0.17222,,-0.44017,-0.33384,0.19254
2000-04-01,USA,USD,United States,2.24,1,2.24,32833.67,2.37085805656619,0,,-0.32371,-0.19525,0.44064
2001-04-01,ARG,ARS,Argentina,2.5,1,2.5,7803.32672,1.71792386285807,0.54072,,0.0316,0.41484,0.90664
2001-04-01,AUS,AUD,Australia,3,1.98,1.51515151515152,25179.6608,2.14343035326698,-0.2516,,-0.4989,-0.31274,-0.07386
2001-04-01,BRA,BRL,Brazil,3.6,2.19,1.64383561643836,4026.68,1.62544246350519,0.07072,,-0.28309,-0.01676,0.32501
2001-04-01,GBR,GBP,Britain,1.99,0.699300699,2.84570000122365,20028.0201005025,2.01727851112359,0.49352,,0,0.3715,0.84823
2001-04-01,CAN,CAD,Canada,3.33,1.56,2.13461538461538,22326.9948348348,2.07357511927125,0.0899,,-0.27025,0.00086,0.34875
2001-04-01,CHL,CLP,Chile,1260,601,2.09650582362729,4509.62359111111,1.63726864223616,0.3557,,-0.09228,0.24494,0.67768
2001-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,1620.6218989899,1.5665236297876,-0.19192,,-0.45894,-0.25794,0
2001-04-01,CZE,CZK,Czech Republic,56,39,1.43589743589744,8758.274,1.74130832725473,-0.12696,,-0.41545,-0.19828,0.08039
